file_name,ole_object_count,ole_object_type_count,macro_present,dde_present,vba_keywords_count,entropy,struct_ContentType,struct_PartName,file_size,struct_pos,label
benign_000000,0,0,0,1,0,6.826818755379316,12,10,27585,11,0
benign_000001,0,0,0,1,0,7.389457009765278,14,11,36658,10,0
benign_000002,0,0,0,1,0,6.850923253356822,12,10,28887,11,0
benign_000003,0,0,0,1,0,7.408634985729398,14,11,39295,10,0
benign_000004,0,0,0,1,0,7.388928560418656,14,11,36659,10,0
benign_000005,0,0,0,1,0,7.38921065596206,14,11,36662,10,0
benign_000006,0,0,0,1,0,7.390104988158894,14,11,36832,10,0
benign_000007,0,0,0,1,0,7.39669593698452,14,11,38195,10,0
benign_000008,0,0,0,1,0,7.410122061529148,14,11,40156,10,0
benign_000009,0,0,0,1,0,7.387920634540331,14,11,36662,10,0
benign_000010,0,0,0,1,0,7.389634341419384,14,11,36663,10,0
benign_000011,0,0,0,1,0,7.415473264760012,14,11,39503,10,0
benign_000012,0,0,0,1,0,7.395293719329056,14,11,37673,10,0
benign_000013,0,0,0,1,0,7.389735112366216,14,11,37199,10,0
benign_000014,0,0,0,1,0,7.398827068475902,14,11,37777,10,0
benign_000015,0,0,0,1,0,7.40189995321239,14,11,38582,10,0
benign_000016,0,0,0,1,0,7.393225633912014,14,11,37582,10,0
benign_000017,0,0,0,1,0,7.392614655561252,14,11,37582,10,0
benign_000018,0,0,0,1,0,7.410051214896988,14,11,40795,10,0
benign_000019,0,0,0,1,0,7.410468098757837,14,11,40795,10,0
benign_000020,0,0,0,1,0,7.391557306804485,14,11,36661,10,0
benign_000021,0,0,0,1,0,7.026323770149205,16,13,39747,11,0
benign_000022,0,0,0,1,0,7.409541666636272,14,11,39503,10,0
benign_000023,0,0,0,1,0,7.402552578092197,14,11,39239,10,0
benign_000024,0,0,0,1,0,7.40582362159204,14,11,39828,10,0
benign_000025,0,0,0,1,0,7.390304976978701,14,11,37091,10,0
benign_000026,0,0,0,1,0,7.403089892548893,14,11,39722,10,0
benign_000027,0,0,0,1,0,7.403369160860006,14,11,39878,10,0
benign_000028,0,0,0,1,0,7.39195198181814,14,11,36660,10,0
benign_000029,0,0,0,1,0,7.405764684969441,14,11,39503,10,0
benign_000030,0,0,0,1,0,7.40756851863094,14,11,39113,10,0
benign_000031,0,0,0,1,0,7.404947115807104,14,11,39345,10,0
benign_000032,0,0,0,1,0,7.401614614635599,14,11,39292,10,0
benign_000033,0,0,0,1,0,7.397753194394636,14,11,38797,10,0
benign_000034,0,0,0,1,0,7.415612595087643,14,11,40795,10,0
benign_000035,0,0,0,1,0,7.396630982338392,14,11,39365,10,0
benign_000036,0,0,0,1,0,7.406530064602964,14,11,39645,10,0
benign_000037,0,0,0,1,0,6.460483931723536,28,25,48375,0,0
benign_000038,0,0,0,1,0,7.401579916707315,14,11,39924,10,0
benign_000039,0,0,0,1,0,7.389873351519396,14,11,36792,10,0
benign_000040,0,0,0,1,0,7.403407115152096,14,11,38960,10,0
benign_000041,0,0,0,1,0,7.398635709327836,14,11,37582,10,0
benign_000042,0,0,0,1,0,7.410486185908718,14,11,40156,10,0
benign_000043,0,0,0,1,0,7.38850925453159,14,11,36823,10,0
benign_000044,0,0,0,1,0,6.852521438622269,15,13,31009,0,0
benign_000045,0,0,0,1,0,7.40338803396727,14,11,40122,10,0
benign_000046,0,0,0,1,0,7.38758934299802,14,11,36660,10,0
benign_000047,0,0,0,1,0,7.415901164595754,14,11,40654,10,0
